SCALE,DPAWREGION,COMMUNITYNAME,COMMUNITYID,DESC,KNOWNOCC_NUM,KNOWNOCC_CAT,KNOWNOCC_NUMRELIAB,KNOWNOCC_TREND,KNOWNOCC_TRENDRELIAB,KNOWNOCC_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,DEGABIOTIC_EXTENTCAT,DEGABIOTIC_EXTENTTREND,DEGABIOTIC_SEVERITYCAT,DEGABIOTIC_SEVERITYTREND,DEGABIOTIC_RELIAB,DEGABIOTIC_NOTES,DEGBIOTIC_EXTENTCAT,DEGBIOTIC_EXTENTTREND,DEGBIOTIC_SEVERITYCAT,DEGBIOTIC_SEVERITYTREND,DEGBIOTIC_RELIAB,DEGBIOTIC_NOTES,BIOTICCOMP,ABIOTICCOMP,WETLAND,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTINGREASON,ENDEMISM,TENURE,MOSTRECENTSURVEY_COND,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,TT_LAST_UPDATED,TT_CHANGECONSSTATUS
JAF02,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,"This community type occurs in grey sand in the West Whicher Scarp. It is similar to the open Banksia attenuata woodlands with Peppermint (Agonis flexuosa) from the grey sands of the West Whicher Scarp. The type is species poor. Taxa include: Allocasuarina fraseriana, Banksia attenuata, Xylomellum occidentale, Bossiaea praetermissa, Calytrix flavescens, Gompholobium tomentosum, Hibbertia hypericoides, Hovea stricta, Hypocalymma robustum, Kunzea rostrata, Petrophile linearis and a suite of grasses, herbs and sedges. Swan Coastal Plain woodlands of grey/white sands. Formed from one grey sand quadrat from the West Whicher Scarp.  It is comparatively species poor. A significant number of the quadrats in group B1 as well as the B2 quadrat are in or adjacent to areas infected by dieback.",8,Refer to State level,Quantitative analysis of data published or publically available following peer review,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,South West workshop: recognised 2008; AW does not support Argyle Block point records,Refer to State level,N/A,,,,151,"< 1,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Increased (new knowledge - biological survey),South West workshop,Unknown,Static,Unknown,Static,Expert opinion,South West workshop,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),High severity,Worsening condition (pressures > recovery actions),Quantitative analysis of data published or publically available following peer review,"South West workshop: Pc dieback, changes assemblage",Vascular plants,,,None,Priority 1,2008,"P1 - generally ? 5 occurrences or AOO ? 100 ha, occurrences under threat ","JAF02, SWA02","DEC managed land - State forest/Timber reserve, Freehold land, Other public lands - roads and water bodies, Other crown reserves",2008,2013,,Vegetation dieback (specify):,Pc dieback,Vegetation dieback (specify):,Pc dieback,none,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy or description of community community,resolve Argyle occurrences (requires field survey plots),EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,,,MI i) Habitat protection through formal conservation reservation (specify),reservation of occurrences where posible,MI xiii) Education and awareness (specify),"values of Whicher Scarp, importance in preserving and biodiversity",Notes from workshop: Pc treatment and hygiene is very expensive and dieback is throughout this community,,,,,
JAF02,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
JAF02,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,,Roads & rail,,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
JAF02,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,sand mining,Mining ,sand mining,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
JAF02,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban development ,clearing for semi-rural development,Urban development ,clearing for semi-rural development,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
SWA02,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,"This community type occurs in grey sand in the West Whicher Scarp. It is similar to the open Banksia attenuata woodlands with Peppermint (Agonis flexuosa) from the grey sands of the West Whicher Scarp. The type is species poor. Taxa include: Allocasuarina fraseriana, Banksia attenuata, Xylomellum occidentale, Bossiaea praetermissa, Calytrix flavescens, Gompholobium tomentosum, Hibbertia hypericoides, Hovea stricta, Hypocalymma robustum, Kunzea rostrata, Petrophile linearis and a suite of grasses, herbs and sedges. Swan Coastal Plain woodlands of grey/white sands. Formed from one grey sand quadrat from the West Whicher Scarp.  It is comparatively species poor. A significant number of the quadrats in group B1 as well as the B2 quadrat are in or adjacent to areas infected by dieback.",5,Refer to State level,Quantitative analysis of data published or publically available following peer review,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,South West workshop,Refer to State level,N/A,,,,55,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Increased (new knowledge - biological survey),South West workshop,Unknown,Static,Unknown,Static,Expert opinion,South West workshop,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),High severity,Worsening condition (pressures > recovery actions),Quantitative analysis of data published or publically available following peer review,"South West workshop: Pc dieback, changes assemblage",Vascular plants,,,None,Priority 1,2008,"P1 - generally ? 5 occurrences or AOO ? 100 ha, occurrences under threat ","JAF02, SWA02","Freehold land, Other public lands - roads and water bodies",2008,2013,,Vegetation dieback (specify):,Pc dieback,Vegetation dieback (specify):,Pc dieback,none,,,,,,,,,,,,MI i) Habitat protection through formal conservation reservation (specify),reservation of occurrences where posible,MI xiii) Education and awareness (specify),"values of Whicher Scarp, importance in preserving and biodiversity",Notes from workshop: Pc treatment and hygiene is very expensive and dieback is throughout this community,,,,,
SWA02,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
SWA02,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,,Roads & rail,,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
SWA02,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,sand mining,Mining ,sand mining,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
SWA02,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban development ,clearing for semi-rural development,Urban development ,clearing for semi-rural development,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
SWA02,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing by stock,Livestock farming (specify),grazing by stock,,,,,,,,,,,,,,,,,,,,,,
SWA02,Southwest,West Whicher Scarp Banksia attenuata woodland (Swan Coastal Plain centred woodlands of grey/white sands community B2),Whicher Scarp B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify):,grazing by kangaroos,Problem native spp. (specify):,grazing by kangaroos,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,"This community type is associated with coloured sands on the moderate to gentle slopes of the Central
Whicher Scarp in the Whicher forest and Treeton forest. Mean native taxa per plot 66.9. Mean weed taxa per plot 0.6.",8,Less than or equal to 10 (potentially meets location criteria VU),Quantitative analysis of data published or publically available following peer review,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,South West workshop: recognised 2008,3269,"< 10,000ha (potentially meets extent of occurrence criteria for CR) ",Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),South West workshop: survey effort is less for this community so may be more widespread. S&C JAF02 899ha + SWA02 2370ha,41,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Increased (new knowledge - biological survey),South West workshop,Unknown,Unknown,Unknown,Unknown,-,South West workshop,< 5% area subject to pressures/threats,Worsening condition (pressures > recovery actions),Minor or negligible severity,Worsening condition (pressures > recovery actions),Expert opinion,"South West workshopL clearing (ag), roads, rubbish dumping, fire wood collection",Vascular plants,,,None,Priority 1,2008,"P1 - generally ? 5 occurrences or AOO Less than or equal to 100 ha, occurrences under threat ","JAF02, SWA02","DEC managed land - State forest/Timber reserve, Other public lands - roads and water bodies, Other crown reserves, DEC managed land - reserves IUCN I-IV, Freehold land",2008,2012,Whicher Scarp repoort,Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",none,,,,,,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,MD xii) Manage access,close existing tracks to minimise vehicle impacts ,MI xii) Planning processes,DPaW input to planning processes,MI xiii) Education and awareness (specify),"values of Whicher Scarp, importance in preserving and biodiversity",,,,,,
Western Australia,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,Exploration,,,,,,,,,,,,MD xiv) Other,rubbish collection,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),recognised as informal reserve (poorly reservered forest ecosystem) FMP,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forestry/Silviculture,"timber harvesting operations, roads",Forestry/Silviculture,"timber harvesting operations, roads",,,,,,,,,,,,,"MI vii) Biosecurity measures � border (inspections, regulatory control) (specify)",Pc dieback hygiene,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegetation dieback (specify):,Pc dieback,Vegetation dieback (specify):,Pc dieback,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify):,grazing by kangaroos,Problem native spp. (specify):,grazing by kangaroos,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution (household),rubbish dumping,Pollution (household),rubbish dumping,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),Liaison with DMP & mining companies re: reserve tenure & management,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Firewood collecting,firewood collection,Firewood collecting,firewood collection,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,"This community type is associated with coloured sands on the moderate to gentle slopes of the Central
Whicher Scarp in the Whicher forest and Treeton forest. Mean native taxa per plot 66.9. Mean weed taxa per plot 0.6.",4,Refer to State level,Quantitative analysis of data published or publically available following peer review,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,South West workshop: recognised 2008,Refer to State level,N/A,,,,27,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Increased (new knowledge - biological survey),South West workshop,Unknown,Unknown,Unknown,Unknown,-,South West workshop,< 5% area subject to pressures/threats,Worsening condition (pressures > recovery actions),Minor or negligible severity,Worsening condition (pressures > recovery actions),Expert opinion,"South West workshopL clearing (ag), roads, rubbish dumping, fire wood collection",Vascular plants,,,None,Priority 1,2008,"P1 - generally ? 5 occurrences or AOO ? 100 ha, occurrences under threat ","JAF02, SWA02","DEC managed land - State forest/Timber reserve, Other public lands - roads and water bodies, DEC managed land - reserves IUCN I-IV, Freehold land",,,,Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",Cropping/Horticulture (specify):,"historical clearing, fragmentation of habitat",,,,,,,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,MD xii) Manage access,close existing tracks to minimise vehicle impacts ,MI xii) Planning processes,DPaW input to planning processes,MI xiii) Education and awareness (specify),"values of Whicher Scarp, importance in preserving and biodiversity",,,,,,
JAF02,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,Exploration,,,,,,,,,,,,MD xiv) Other,rubbish collection,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),recognised as informal reserve (poorly reservered forest ecosystem) FMP,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forestry/Silviculture,"timber harvesting operations, roads",Forestry/Silviculture,"timber harvesting operations, roads",,,,,,,,,,,,,"MI vii) Biosecurity measures � border (inspections, regulatory control) (specify)",Pc dieback hygiene,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegetation dieback (specify):,Pc dieback,Vegetation dieback (specify):,Pc dieback,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
JAF02,Southwest,Central Whicher Scarp Jarrah woodland,Whicher Scarp C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify):,grazing by kangaroos,Problem native spp. (specify):,grazing by kangaroos,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
